RANK,TEAM,GP,W,L,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TOV%,eFG%,TS%,PACE,PIE,POSS
1,Oklahoma City Thunder,20,19,1,980.0,119.1,103.4,15.7,60.2,2.05,18.6,26.2,70.3,49.5,12.4,56.4,60.7,100.58,59.4,"2,051"
2,Houston Rockets,17,13,4,831.0,122.3,110.3,12.0,58.0,1.66,17.6,41.2,69.6,55.5,15.5,55.0,58.9,97.7,56.2,"1,690"
3,Miami Heat,20,13,7,965.0,115.7,110.9,4.8,67.4,2.06,19.9,27.6,66.8,48.3,13.7,55.1,59.0,106.1,53.5,"2,135"
4,Dallas Mavericks,21,6,15,1023.0,106.0,111.1,-5.1,61.3,1.48,16.9,27.1,68.8,48.2,15.6,50.8,55.0,102.55,47.6,"2,182"
5,Toronto Raptors,20,14,6,965.0,117.0,111.2,5.8,68.4,2.12,20.5,29.7,70.0,50.3,13.9,55.9,59.6,100.93,53.0,"2,030"
6,Detroit Pistons,20,16,4,965.0,117.1,111.3,5.8,60.5,1.66,18.1,35.2,68.4,52.0,15.5,55.1,58.7,101.82,54.2,"2,046"
7,Golden State Warriors,21,11,10,1013.0,113.0,111.8,1.3,69.6,1.69,19.1,29.5,66.9,48.3,16.0,54.2,58.5,100.98,50.1,"2,128"
8,Cleveland Cavaliers,20,12,8,965.0,115.5,112.2,3.3,64.7,1.86,18.7,30.4,69.4,49.5,14.2,54.6,58.1,102.47,50.8,"2,060"
9,Orlando Magic,20,12,8,965.0,117.3,112.4,4.9,61.5,1.73,17.8,33.6,70.7,52.1,14.6,54.1,59.2,101.02,53.3,"2,033"
10,San Antonio Spurs,18,13,5,869.0,118.0,112.5,5.5,62.1,1.73,18.6,32.5,70.2,52.0,15.1,56.4,60.5,100.14,54.1,"1,819"
11,Minnesota Timberwolves,19,11,8,917.0,116.8,112.6,4.2,61.6,1.69,18.2,31.3,68.3,50.2,15.1,56.4,60.0,101.03,52.4,"1,933"
12,Phoenix Suns,21,12,9,1013.0,115.8,113.5,2.3,60.8,1.56,17.8,34.9,68.5,51.3,16.2,55.1,58.6,100.05,50.1,"2,115"
13,Atlanta Hawks,20,12,8,960.0,115.5,113.6,1.9,71.2,2.07,21.2,27.3,67.2,47.8,14.6,56.7,59.9,101.9,51.9,"2,039"
14,New York Knicks,18,12,6,864.0,120.7,114.0,6.7,63.0,2.02,18.9,33.4,72.8,52.5,13.4,55.4,59.1,100.0,52.7,"1,800"
15,Denver Nuggets,19,14,5,917.0,123.9,114.2,9.7,65.7,2.07,20.3,33.3,70.7,53.3,14.1,58.7,62.9,100.21,55.7,"1,914"
16,Los Angeles Lakers,18,14,4,864.0,118.1,114.5,3.6,61.5,1.6,18.6,30.4,69.7,51.1,16.2,58.4,62.6,100.58,52.8,"1,812"
17,Boston Celtics,19,10,9,912.0,119.0,114.7,4.3,57.6,2.15,17.8,32.8,66.3,49.3,11.8,54.3,57.0,96.47,51.0,"1,833"
18,Memphis Grizzlies,20,8,12,965.0,111.0,114.9,-3.9,72.1,2.02,19.6,31.0,72.0,50.8,14.0,51.2,55.6,101.4,48.9,"2,041"
19,Indiana Pacers,20,4,16,970.0,106.6,115.3,-8.7,60.9,1.62,16.4,30.5,69.0,48.8,14.1,48.8,53.2,101.89,45.0,"2,060"
20,Philadelphia 76ers,18,10,8,874.0,115.5,115.9,-0.4,62.1,1.74,18.0,32.6,68.2,50.5,14.7,53.9,58.1,100.28,49.7,"1,827"
21,Milwaukee Bucks,21,9,12,1018.0,114.3,116.3,-2.0,63.1,1.86,19.4,24.7,68.6,46.8,14.4,58.1,60.2,100.13,48.3,"2,122"
22,Portland Trail Blazers,19,8,11,917.0,114.2,116.5,-2.2,60.3,1.49,16.8,37.2,67.8,51.6,16.2,51.8,56.2,103.25,47.0,"1,970"
23,Chicago Bulls,19,9,10,922.0,113.5,116.8,-3.3,68.1,1.95,19.8,27.2,70.4,49.4,14.2,55.2,58.8,104.38,49.3,"2,008"
24,Charlotte Hornets,20,6,14,970.0,114.6,118.8,-4.2,63.1,1.63,17.8,34.3,72.8,53.0,15.6,53.2,57.7,100.08,47.7,"2,022"
25,New Orleans Pelicans,20,3,17,970.0,109.0,119.3,-10.3,58.2,1.51,16.4,32.2,68.7,49.2,15.2,50.9,54.8,100.65,43.6,"2,031"
26,LA Clippers,20,5,15,970.0,113.6,119.4,-5.8,60.4,1.49,17.6,28.7,67.6,48.8,16.3,54.7,59.3,97.51,47.3,"1,969"
27,Sacramento Kings,20,5,15,965.0,109.3,119.9,-10.6,62.7,1.83,18.4,25.3,68.6,46.5,13.9,52.8,56.4,102.12,44.6,"2,049"
28,Utah Jazz,19,6,13,927.0,112.6,120.0,-7.4,72.7,1.74,19.7,33.4,70.0,51.3,16.4,52.5,57.2,102.81,46.5,"1,986"
29,Brooklyn Nets,19,3,16,912.0,111.6,122.4,-10.8,65.3,1.58,17.8,30.8,66.4,47.6,15.9,52.1,56.4,97.29,42.9,"1,845"
30,Washington Wizards,18,2,16,874.0,107.8,122.4,-14.6,61.6,1.52,17.8,26.5,66.3,46.5,16.1,53.7,56.6,103.11,41.9,"1,878"
